,PR COMMENT,Usage,Positive/Negative,Negative Type
35,https://github.com/shakacode/shakapacker/pull/364#discussion_r1382109487,Reference>Test,NEGATIVE,The provided solution does not bring extra benefits
36,https://github.com/OsmosysSoftware/angular-foundation/pull/7#discussion_r1403297744,Outsource>Refactoring,NEGATIVE,The developer prefers another coding style/design choice
37,https://github.com/jerinphilip/slimt/pull/38#discussion_r1402822292,Reference>Implementation,POSITIVE,
38,https://github.com/mlflow/mlflow/pull/9991#discussion_r1364865450,Outsource>Bug-fix,NEGATIVE,The developer has more optimal solution for the issue. 
39,https://github.com/KernelKrakens/FinBuddy/pull/6#discussion_r1367184069,Reference>Refactoring,POSITIVE,
40,https://github.com/pokt-network/poktroll/pull/220#discussion_r1415941546,Reference>Refactoring,NONE,
41,https://github.com/ISamoplavskaya/alevel/pull/14#discussion_r1451798240,Reference>Refactoring,NONE,
42,https://github.com/VOICEVOX/voicevox/pull/1790#discussion_r1472066350,Reference>Refactoring,POSITIVE,
43,https://github.com/jwjacobson/jazz_repertoire/pull/65#discussion_r1419243358,Outsource>Refactoring,NONE,
44,https://github.com/digitalbitbox/bitbox-wallet-app/pull/2415#discussion_r1420436612,Reference>Tasks,NONE,
45,https://github.com/primer-io/primer-sdk-ios/pull/723#discussion_r1384498279,Outsource>Refactoring,POSITIVE,
46,https://github.com/whatwg/urlpattern/pull/198#discussion_r1384410615,Referenece>Documentation,NONE,
47,https://github.com/devhatt/pet-dex-backend/pull/67#discussion_r1501276023,Reference>Implementation,NONE,
48,https://github.com/bitcoin/bitcoin/pull/28846#discussion_r1399123100,Outsource>Bug-fix,NONE,
49,https://github.com/netket/netket/pull/1631#discussion_r1380066231,Outsource>Refactoring,NEGATIVE,The query by the reviewer is inappropriate
50,https://github.com/camel-ai/camel/pull/400#discussion_r1422043521,Reference>Implementation,NEGATIVE,The solution provided is generally true but is not for this case
51,https://github.com/chacon44/Module_3/pull/1#discussion_r1411607131,Reference>Test,NONE,
52,https://github.com/mate-academy/jv-lottery/pull/1279#discussion_r1422482076,Reference>Refactoring,NONE,
53,https://github.com/kazuki1023/miniHackathon-202312B/pull/40#discussion_r1421336105,Outsource>Refactoring,NONE,
54,https://github.com/dragonflydb/dragonfly/pull/2153#discussion_r1390969392,Outsource>Testing,NONE,
55,https://github.com/fylein/fyle_integrations_imports/pull/3#discussion_r1394023245,Reference>Implementation,NONE,
56,https://github.com/EvergenEnergy/sparkplughost/pull/1#discussion_r1390006420,NOT ENOUGH INFO,NONE,
57,https://github.com/IMAP-Science-Operations-Center/imap-data-access/pull/8#discussion_r1473441554,Outsource>Implementation,NEGATIVE,The developer prefers another coding style/design choice
58,https://github.com/bystrogenomics/bystro/pull/385#discussion_r1489653478,Reference>Refactoring,NONE,
59,https://github.com/woowacourse-precourse/java-racingcar-6/pull/2390#discussion_r1405427940,Reference>Design,POSITIVE,
60,https://github.com/woowacourse-precourse/kotlin-racingcar-6/pull/1#discussion_r1379559574,Reference>Implementation,NEGATIVE,The query by the reviewer is inappropriate
61,https://github.com/pokt-network/poktroll/pull/31#discussion_r1360886689,Reference>Refactoring,NONE,
62,https://github.com/40LF0/couple_project_backend/pull/13#discussion_r1448140729,Reference>Refactoring,NONE,
63,https://github.com/40LF0/couple_project_backend/pull/13#discussion_r1448141786,Reference>Refactoring,POSITIVE,
64,https://github.com/unoplatform/workshops/pull/128#discussion_r1382221562,FP,FP,
65,https://github.com/TISUnion/PrimeBackup/pull/10#discussion_r1440425246,Referenece>Documentation,NONE,
66,https://github.com/chatwoot/chatwoot/pull/8136#discussion_r1396672326,Reference>Implementation,POSITIVE,
67,https://github.com/VOICEVOX/voicevox/pull/1621#discussion_r1372111626,Outsource>Implementation,NONE,
68,https://github.com/takumihara/webserv/pull/61#discussion_r1234724929,Reference>Implementation,POSITIVE,
69,https://github.com/Bahmni/openmrs-module-bahmniapps/pull/716#discussion_r1371234409,Outsource>Bug-fix,NONE,
70,https://github.com/itpplasma/libneo/pull/21#discussion_r1464846305,Reference>Test,POSITIVE,
71,https://github.com/BII-GmbH/WasaBii/pull/32#discussion_r1326429788,Outsource>Refactoring,NEGATIVE,The developer prefers another coding style/design choice
72,https://github.com/sillsdev/appbuilder-usercontent-management/pull/6#discussion_r1368689876,Outsource>Bug-fix,NONE,
73,https://github.com/Opetushallitus/ludos/pull/102#discussion_r1463212453,Reference>Design,NONE,
74,https://github.com/project-555/plog-back/pull/114#discussion_r1299115416,Outsource>Design,NONE,
75,https://github.com/boostcampwm2023/web15-BaekjoonRooms/pull/50#discussion_r1400417304,Reference>Tasks,NONE,
76,https://github.com/552020/minishell/pull/9#discussion_r1323203796,Outsource>Implementation,NEGATIVE,The solution needs more effort
77,https://github.com/MarynaSkrypnyk/a-level/pull/20#discussion_r1445005795,Reference>Refactoring,NONE,
78,https://github.com/groundlight/python-sdk/pull/142#discussion_r1425917621,Outsource>Implementation,NONE,
79,https://github.com/VOICEVOX/voicevox_core/pull/655#discussion_r1369218066,Reference>Tasks,NONE,
80,https://github.com/Pasdaven/oracle/pull/125#discussion_r1225470941,Reference>Implementation,NONE,
81,https://github.com/OpenAdaptAI/OpenAdapt/pull/489#issuecomment-1806343167,Outsource>Refactoring,NONE,
82,https://github.com/jsdom/jsdom/pull/3644#issuecomment-1880059666,Outsource>Testing,POSITIVE,
83,https://github.com/toeverything/blocksuite/pull/5423#issuecomment-1825187075,Outsource>Design,NONE,
84,https://github.com/Kicksecure/security-misc/pull/170#issuecomment-1819134185,Reference>Design,NEGATIVE,The provided solution does not bring extra benefits
85,https://github.com/gojsonschema/gojsonschema/pull/5#issuecomment-1877640199,Outsource>Bug-fix,NONE,
86,https://github.com/lve-org/lve/pull/35#issuecomment-1848897838,FP,FP,
87,https://github.com/langroid/langroid/pull/301#issuecomment-1891121272,Outsource>Implementation,NEGATIVE,The developer has more optimal solution for the issue. 
88,https://github.com/PrairieLearn/PrairieLearn/pull/9209#issuecomment-1879100089,Reference>Design,NONE,
89,https://github.com/kube-hetzner/terraform-hcloud-kube-hetzner/pull/1091#issuecomment-1812030174,Reference>Design,IGNORE,
90,https://github.com/InstantID/InstantID/pull/89#issuecomment-1913436344,Outsource>Refactoring,IGNORE,
91,https://github.com/grantjenks/py-tree-sitter-languages/pull/33#issuecomment-1874441068,Reference>Others,IGNORE,
92,https://github.com/hacktoberfestkorea/hacktoberfestkorea/pull/241#issuecomment-1763275398,Outsource>Tasks,POSITIVE,
93,https://github.com/R021T/BLINK/pull/1#issuecomment-1763268059,Outsource>Implementation,NONE,
94,https://github.com/OthersideAI/self-operating-computer/pull/52#issuecomment-1837159606,Outsource>Bug-fix,IGNORE,
95,https://github.com/OthersideAI/self-operating-computer/pull/52#issuecomment-1837182107,Reference>Bug Fix,NONE,
96,https://github.com/FIT4002-TEAM9/Leaf/pull/90#issuecomment-1698386032,Reference>Design,POSITIVE,
97,https://github.com/sindresorhus/type-fest/pull/701#issuecomment-1779016464,Outsource>Testing,NEGATIVE,The provided solution contains bug or is not working.
98,https://github.com/unity-atoms/unity-atoms/pull/448#issuecomment-1865248934,Reference>Tasks,POSITIVE,
99,https://github.com/rapidsai/cuspatial/pull/1295#issuecomment-1811705164,Outsource>Bug-fix,NEGATIVE,The provided solution contains bug or is not working.
100,https://github.com/MatrixAI/Polykey/pull/604#issuecomment-1779588304,NOT ENOUGH INFO,NOT ENOUGH INFO,
101,https://github.com/MatrixAI/Polykey/pull/609#issuecomment-1784449762,NOT ENOUGH INFO,NOT ENOUGH INFO,
102,https://github.com/maybe-finance/maybe/pull/228#issuecomment-1910956881,FP,FP,
103,https://github.com/Bananapus/nana-core/pull/37#issuecomment-1813689518,FP,FP,
104,https://github.com/rohan9024/ecommerce/pull/145#issuecomment-1859051307,NOT ENOUGH INFO,NOT ENOUGH INFO,
105,https://github.com/sympy/sympy/pull/26098#issuecomment-1911181512,FP,FP,
106,https://github.com/sympy/sympy/pull/26098#issuecomment-1911223469,FP,FP,
107,https://github.com/OthersideAI/self-operating-computer/pull/63#issuecomment-1845919170,Outsource>Review,NEUTRAL,
108,https://github.com/OthersideAI/self-operating-computer/pull/61#issuecomment-1837215854,Outsource>Bug-fix,POSITIVE,
109,https://github.com/OthersideAI/self-operating-computer/pull/57#issuecomment-1837524092,Outsource>Bug-fix,IGNORE,
110,https://github.com/ory/elements/pull/171#issuecomment-1866276026,Outsource>Implementation,NEGATIVE,The solution needs more effort
111,https://github.com/camel-ai/camel/pull/328#issuecomment-1777462662,Outsource>Implementation,POSITIVE,
112,https://github.com/xtdb/xtdb/pull/3021#issuecomment-1839157025,Outsource>Documentation,POSITIVE,
113,https://github.com/magnifiq/js-practice-vention/pull/9#discussion_r1353282723,Reference>Refactoring,NONE,
114,https://github.com/rom-py/rompy/pull/40#issuecomment-1742286490,Reference>Refactoring,NEGATIVE,The reference is not needed anymore
115,https://github.com/whatwg/whatwg.org/pull/427#discussion_r1346777741,Outsource>Implementation,POSITIVE,
116,https://github.com/expresstechsoftware/product-questions-answers-for-woocommerce/pull/25#discussion_r1350722241,Reference>Refactoring,NONE,
117,https://github.com/polywrap/evo.ninja/pull/206#issuecomment-1733527785,FP,FP,
118,https://github.com/pwncollege/dojo/pull/219#issuecomment-1719988066,Outsource>Design,NONE,
119,https://github.com/Maagan-Michael/mm-portal/pull/1#issuecomment-1711069283,Outsource>Implementation,NONE,
120,https://github.com/sablier-labs/v2-periphery/pull/191#discussion_r1340538359,Reference>Refactoring,NONE,
121,https://github.com/TurboWarp/extensions/pull/1035#issuecomment-1721002419,FP,FP,
122,https://github.com/cataclysmbnteam/Cataclysm-BN/pull/3130#issuecomment-1713996428,FP,FP,
123,https://github.com/sCrypt-Inc/scryptTS-docs/pull/209#discussion_r1340773007,Reference>Implementation,POSITIVE,
124,https://github.com/darklang/dark/pull/5087#discussion_r1332099336,Reference>Test,NONE,
125,https://github.com/bogpad/docs/pull/2#issuecomment-1724074254,FP,FP,
126,https://github.com/amidaware/community-scripts/pull/182#issuecomment-1725685097,Outsource>Bug-fix,POSITIVE,
127,https://github.com/sleepyRias/BetterSteam/pull/76#issuecomment-1648183442,Outsource>Implementation,NONE,
128,https://github.com/c4dt/dela/pull/4#discussion_r1345719323,Reference>Refactoring,NEGATIVE,The provided solution does not bring extra benefits
129,https://github.com/pyspark-ai/pyspark-ai/pull/157#discussion_r1350628753,Reference>Implementation,POSITIVE,
130,https://github.com/BenGriffith/cryptocurrency/pull/52#discussion_r1352670564,Reference>Test,POSITIVE,
131,https://github.com/transloadit/uppy/pull/4110#issuecomment-1709589496,Outsource>Bug-fix,NONE,
132,https://github.com/erobitschek/med-ml/pull/5#discussion_r1346318811,Reference>Implementation,NONE,
133,https://github.com/bancaditalia/black-it/pull/58#discussion_r1298585008,Outsource>Refactoring,NONE,
134,https://github.com/aepaysinger/code-challenges/pull/65#issuecomment-1753175242,Outsource>Refactoring,POSITIVE,
135,https://github.com/Siv3D/OpenSiv3D/pull/1097#issuecomment-1724099603,Reference>Tasks,NONE,
136,https://github.com/hyprwm/Hyprland/pull/3393#issuecomment-1730987456,Outsource>Documentation,NONE,
137,https://github.com/esag-swiss/iDig-Webapp/pull/105#discussion_r1316979869,Reference>Implementation,POSITIVE,
138,https://github.com/chitalian/gptask/pull/2#issuecomment-1648399736,Outsource>Testing,NONE,
139,https://github.com/tsenart/vegeta/pull/638#issuecomment-1650244437,Outsource>Design,POSITIVE,
140,https://github.com/millwheel/delivery-application/pull/1#discussion_r1300941200,Outsource>Bug-fix,POSITIVE,
141,https://github.com/rhysmorgan134/node-CarPlay/pull/70#issuecomment-1751879482,Reference>Refactoring,POSITIVE,
142,https://github.com/lfortran/lfortran/pull/2446#issuecomment-1723550953,Outsource>Refactoring,IGNORE,
143,https://github.com/konfuzio-ai/konfuzio-sdk/pull/296#discussion_r1243260047,Referenece>Documentation,NONE,
144,https://github.com/konfuzio-ai/konfuzio-sdk/pull/296#discussion_r1243266447,Outsource>Documentation,NONE,
145,https://github.com/mongo-express/mongo-express-docker/pull/93#discussion_r1341693430,Outsource>Review,NONE,
146,https://github.com/darklang/dark/pull/5068#discussion_r1321927695,Reference>Refactoring,POSITIVE,
147,https://github.com/rajatkantinandi/quizmaster/pull/75#discussion_r1311161413,Reference>Others,NONE,
148,https://github.com/huseyinbagator/react-demo-todo-app/pull/8#discussion_r1264647535,Referenece>Documentation,NONE,
149,https://github.com/polywrap/evo.ninja/pull/167#discussion_r1327179733,Reference>Refactoring,NEGATIVE,The developer prefers another coding style/design choice
150,https://github.com/code-in-design/pass-frontend/pull/21#discussion_r1250294512,Reference>Refactoring,NONE,
151,https://github.com/code-in-design/pass-frontend/pull/21#discussion_r1250295514,Reference>Refactoring,POSITIVE,
152,https://github.com/darklang/dark/pull/5063#discussion_r1321923082,Outsource>Refactoring,NONE,
153,https://github.com/MERLCenter/MERL-Center-public/pull/112#issuecomment-1624143946,Referenece>Documentation,POSITIVE,
154,https://github.com/MERLCenter/MERL-Center-public/pull/112#issuecomment-1624175034,FP,FP,
155,https://github.com/KilianFt/Adaptive-HCI/pull/3#discussion_r1301899073,Outsource>Implementation,NONE,
156,https://github.com/Hochfrequenz/kohlrahbi/pull/158#discussion_r1271847864,Reference>Implementation,NONE,
157,https://github.com/netdata/netdata/pull/15485#discussion_r1270654608,Outsource>Review,NEGATIVE,The provided solution does not bring extra benefits
158,https://github.com/microsoft/visionmetrics/pull/42#discussion_r1304017280,Outsource>Testing,NONE,
159,https://github.com/tinygrad/tinygrad/pull/1661#issuecomment-1692144992,Outsource>Refactoring,POSITIVE,
160,https://github.com/danny-avila/LibreChat/pull/756#discussion_r1285029357,Reference>Refactoring,IGNORE,
161,https://github.com/Miller-RS/DistributedMiningNetwork/pull/8#issuecomment-1596437152,FP,FP,
162,https://github.com/bloxapp/ssv-web/pull/277#discussion_r1243536559,Reference>Implementation,POSITIVE,
163,https://github.com/scania-digital-design-system/tegel-angular-demo/pull/51#issuecomment-1706810955,Outsource>Implementation,POSITIVE,
164,https://github.com/RND247/Pype-Synthetic-Data-for-Testing/pull/16#discussion_r1221734095,Reference>Implementation,NONE,
165,https://github.com/viets-software-club/truffle-ai-backend/pull/52,FP,FP,
166,https://github.com/kolibril13/ipyMolecularNodes/pull/1#issuecomment-1738733725,Outsource>Refactoring,NEUTRAL,
167,https://github.com/roslinmahmud/easy-hire-backend/pull/11#issuecomment-1590933040,NOT ENOUGH INFO,POSITIVE,
168,https://github.com/erobitschek/med-ml/pull/2#discussion_r1330422091,Reference>Implementation,NONE,
169,https://github.com/erobitschek/med-ml/pull/2#discussion_r1330423747,Reference>Tasks,POSITIVE,
170,https://github.com/ykdojo/kaguya/pull/16#issuecomment-1605260386,Reference>Refactoring,POSITIVE,
171,https://github.com/tic-oss/jhipster-blueprints/pull/7#discussion_r1235578860,Reference>Refactoring,NONE,
172,https://github.com/tic-oss/jhipster-blueprints/pull/7#discussion_r1235599015,Reference>Refactoring,NONE,
173,https://github.com/alcionai/corso/pull/4417#discussion_r1343011112,Reference>Implementation,NEUTRAL,
174,https://github.com/SSWConsulting/SSW.Website/pull/1284#discussion_r1303683136,Outsource>Review,NONE,
175,https://github.com/gcarlos64/linux/pull/4#discussion_r1263001988,Outsource>Testing,POSITIVE,
176,https://github.com/MrNeRF/gaussian-splatting-cuda/pull/23#issuecomment-1689687365,Reference>Tasks,IGNORE,
177,https://github.com/SWM14-Architect/moview-core-service/pull/12#discussion_r1257883180,Outsource>Bug-fix,POSITIVE,
178,https://github.com/qin-team-recipe/05-recipe-app/pull/62#issuecomment-1604375151,Outsource>Implementation,NONE,
179,https://github.com/opensearch-project/opensearch-migrations/pull/297#discussion_r1318668172,Outsource>Implementation,NONE,
180,https://github.com/VOICEVOX/pyopenjtalk/pull/18#issuecomment-1640105277,Outsource->Others,IGNORE,
181,https://github.com/ubiquity/ubiquibot/pull/759#issuecomment-1715952798,Outsource>Review,POSITIVE,
182,https://github.com/reworkd/AgentGPT/pull/897#discussion_r1249738353,Outsource>Design,NEGATIVE,The provided solution does not bring extra benefits
183,https://github.com/VOICEVOX/voicevox/pull/1546#discussion_r1328053201,Reference>Refactoring,POSITIVE,
184,https://github.com/daydule/frontend/pull/35#discussion_r1236770242,Outsource>Review,NONE,
185,https://github.com/toptal/picasso/pull/3872#discussion_r1338437722,Reference>Implementation,POSITIVE,
186,https://github.com/SSWConsulting/SSW.Website/pull/931#discussion_r1252442385,Reference>Implementation,POSITIVE,
187,https://github.com/theosanderson/taxonium/pull/534#issuecomment-1742205192,Outsource>Implementation,POSITIVE,
188,https://github.com/FixMyBerlin/atlas-app/pull/45#discussion_r1301612702,Reference>Implementation,NONE,
189,https://github.com/GaloyMoney/galoy-mobile/pull/2361#issuecomment-1613522885,Outsource>Design,NEUTRAL,
190,https://github.com/citusdata/activerecord-multi-tenant/pull/199#issuecomment-1575558178,Outsource>Testing,POSITIVE,
191,https://github.com/lcompilers/lpython/pull/2323#issuecomment-1721988847,Reference>Implementation,POSITIVE,
192,https://github.com/autowarefoundation/autoware-github-actions/pull/241#issuecomment-1725823086,Outsource>Implementation,NEGATIVE,The developer prefers another coding style/design choice
193,https://github.com/darklang/dark/pull/5058#discussion_r1315278678,Reference>Design,NONE,
194,https://github.com/bytedeck/bytedeck/pull/1451#discussion_r1290794291,Reference>Design,NONE,
195,https://github.com/Ayahiro-Inatsugu/ph3-website-private/pull/4#discussion_r1225688035,Reference>Implementation,NONE,
196,https://github.com/Ayahiro-Inatsugu/ph3-website-private/pull/4#discussion_r1225782536,NOT ENOUGH INFO,NONE,
197,https://github.com/ryoikegata/template-ph3-website/pull/1#discussion_r1225690070,Reference>Implementation,NONE,
198,https://github.com/VOICEVOX/voicevox/pull/1384#issuecomment-1630299973,Outsource>Implementation,POSITIVE,
199,https://github.com/ggerganov/llama.cpp/pull/1775#issuecomment-1585648505,Outsource>Refactoring,NEGATIVE,The solution provided is too general and overlooks details and specific features
200,https://github.com/ggerganov/llama.cpp/pull/1775#issuecomment-1585814548,Outsource>Refactoring,NONE,
201,https://github.com/lfortran/lfortran/pull/1788#discussion_r1224635775,Outsource->Others,POSITIVE,
202,https://github.com/telosnetwork/open-block-explorer/pull/712#discussion_r1227329562,Reference>Refactoring,POSITIVE,
203,https://github.com/ggerganov/llama.cpp/pull/1807#issuecomment-1586554971,Outsource>Review,NEGATIVE,The provided solution contains bug or is not working. The provided solution degrades performance
204,https://github.com/wafflestudio/wacruit-server/pull/26#discussion_r1272405392,Reference>Refactoring,POSITIVE,
205,https://github.com/dwyl/imgup/pull/64#issuecomment-1589121644,Reference>Implementation,NONE,
206,https://github.com/HinanoOno/template-ph3-website/pull/1#discussion_r1226844793,Outsource>Implementation,NONE,
207,https://github.com/HinanoOno/template-ph3-website/pull/1#discussion_r1229888130,Outsource->Others,NONE,
208,https://github.com/VOICEVOX/voicevox/pull/1573#discussion_r1352736415,Outsource>Design,NONE,
209,https://github.com/Ludeon/RimWorld-ru/pull/1571#discussion_r1257539457,NOT ENOUGH INFO,POSITIVE,
210,https://github.com/pyspark-ai/pyspark-ai/pull/1#discussion_r1231396472,Reference>Implementation,POSITIVE,
211,https://github.com/kazuki1023/template_ph3_website_private/pull/16#discussion_r1220919789,Reference>Implementation,POSITIVE,
212,https://github.com/VOICEVOX/voicevox/pull/1555#discussion_r1335105136,Outsource>Refactoring,NONE,
213,https://github.com/CodeIntelligenceTesting/cifuzz/pull/838#discussion_r1269366123,Outsource>Review,NONE,
214,https://github.com/faker-js/faker/pull/2230#discussion_r1299161042,Outsource>Documentation,POSITIVE,
215,https://github.com/PostHog/posthog.com/pull/6456#discussion_r1287086870,Reference>Tasks,NONE,
216,https://github.com/snapshot-labs/snapshot/pull/3937#discussion_r1208450760,NOT ENOUGH INFO,NEGATIVE,The provided solution does not bring extra benefits
217,https://github.com/PolicyEngine/policyengine-us/pull/2764#discussion_r1298683681,Outsource>Refactoring,POSITIVE,
218,https://github.com/internetarchive/iaux-collection-browser/pull/261#discussion_r1237761478,Outsource>Review,POSITIVE,
219,https://github.com/mdn/content/pull/27070#issuecomment-1570821781,Outsource>Implementation,IGNORE,
220,https://github.com/mdn/content/pull/27070#issuecomment-1571207236,FP,FP,
221,https://github.com/rails/rails/pull/48576#issuecomment-1614443487,Reference>Design,POSITIVE,
222,https://github.com/jhipster/generator-jhipster/pull/22429#issuecomment-1577734656,Outsource>Implementation,NEGATIVE,The provided solution contains bug or is not working.
223,https://github.com/astahmer/openapi-zod-client/pull/151#discussion_r1219706888,Reference>Implementation,NONE,
224,https://github.com/energietransitie/twomes-p1-reader-firmware/pull/2#discussion_r1218120781,Outsource>Implementation,NONE,
225,https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor/pull/30#issuecomment-1567002869,NOT ENOUGH INFO,NOT ENOUGH INFO,
226,https://github.com/dotCMS/core/pull/25432#discussion_r1256484668,NOT ENOUGH INFO,NONE,
227,https://github.com/OpenAdaptAI/OpenAdapt/pull/228#issuecomment-1595122865,Outsource>Design,NEUTRAL,
228,https://github.com/monarch-initiative/mondo/pull/6609#issuecomment-1701793151,Outsource>Bug-fix,IGNORE,
229,https://github.com/VOICEVOX/voicevox_engine/pull/716#discussion_r1264576034,Reference>Others,POSITIVE,
230,https://github.com/roboflow/supervision/pull/177#issuecomment-1643969353,Outsource>Testing,IGNORE,
231,https://github.com/ggerganov/llama.cpp/pull/1684#issuecomment-1585817943,Outsource>Bug-fix,IGNORE,
232,https://github.com/Altinity/clickhouse-backup/pull/648#issuecomment-1592913792,Reference>Tasks,NONE,
233,https://github.com/unoplatform/uno/pull/12428#discussion_r1213089281,Outsource>Review,NEGATIVE,The provided solution does not bring extra benefits
234,https://github.com/ubiquity/ubiquibot/pull/608#issuecomment-1687163074,Outsource>Testing,IGNORE,
235,https://github.com/wahanegi/vibereport/pull/64#discussion_r1212265392,Outsource>Refactoring,NEGATIVE,The developer has more optimal solution for the issue. 
236,https://github.com/gravitational/teleport/pull/19316#discussion_r1246819293,Outsource>Review,POSITIVE,
237,https://github.com/VOICEVOX/voicevox/pull/1404#discussion_r1268186381,Outsource>Design,POSITIVE,
238,https://github.com/VOICEVOX/voicevox/pull/1470#discussion_r1285276964,Outsource>Implementation,NEGATIVE,The provided solution contains bug or is not working.
239,https://github.com/VOICEVOX/voicevox/pull/1492#discussion_r1299418820,Outsource>Refactoring,NONE,
240,https://github.com/rust-lang/rfcs/pull/3463#issuecomment-1654616477,Reference>Implementation,NEGATIVE,The developer is against the use of ChatGPT for certain purposes.
241,https://github.com/VOICEVOX/voicevox_core/pull/532#discussion_r1264579212,Outsource>Documentation,IGNORE,
242,https://github.com/VOICEVOX/voicevox_core/pull/538#discussion_r1258630855,Outsource>Testing,IGNORE,
243,https://github.com/VOICEVOX/voicevox/pull/1374#discussion_r1264775663,Reference>Others,POSITIVE,
